k__Archaea	p__Candidatus_Korarchaeota	g__Candidatus_Korarchaeum	s__Candidatus_Korarchaeum_cryptofilum
k__Archaea	p__Candidatus_Micrarchaeota	s__Candidatus_Micrarchaeota_archaeon_Mia14
k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Acidilobales	f__Acidilobaceae	g__Acidilobus	s__Acidilobus_saccharovorans
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminiclostridium	s__Ruminiclostridium_sp._KB18
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminiclostridium	s__Ruminiclostridium_thermocellum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_albus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_bicirculans
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus_flavefaciens
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	s__Ruminococcaceae_bacterium_CPB6
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Symbiobacteriaceae	g__Symbiobacterium	s__Symbiobacterium_thermophilum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Syntrophomonadaceae	g__Syntrophomonas	s__Syntrophomonas_wolfei
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Syntrophomonadaceae	g__Syntrophothermus	s__Syntrophothermus_lipocalidus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	g__Flavonifractor	s__Flavonifractor_plautii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	g__Intestinimonas	s__Intestinimonas_butyriciproducens
k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halanaerobium	s__Halanaerobium_hydrogeniformans
k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halanaerobium	s__Halanaerobium_praevalens
k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halanaerobiaceae	g__Halothermothrix	s__Halothermothrix_orenii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halobacteroidaceae	g__Acetohalobium	s__Acetohalobium_arabaticum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Halanaerobiales	f__Halobacteroidaceae	g__Halobacteroides	s__Halobacteroides_halobius
k__Bacteria	p__Firmicutes	c__Clostridia	o__Natranaerobiales	f__Natranaerobiaceae	g__Natranaerobius	s__Natranaerobius_thermophilus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Ammonifex	s__Ammonifex_degensii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Caldanaerobacter	s__Caldanaerobacter_subterraneus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Carboxydothermus	s__Carboxydothermus_hydrogenoformans
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Moorella	s__Moorella_thermoacetica
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Tepidanaerobacter	s__Tepidanaerobacter_acetatoxydans
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermacetogenium	s__Thermacetogenium_phaeum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_brockii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_italicus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_kivui
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_mathranii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_pseudethanolicus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_sp._X513
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_sp._X514
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacteraceae	g__Thermoanaerobacter	s__Thermoanaerobacter_wiegelii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_bescii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_hydrothermalis
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_kristjanssonii
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_kronotskyensis
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_lactoaceticus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_obsidiansis
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_owensensis
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Caldicellulosiruptor	s__Caldicellulosiruptor_saccharolyticus
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Thermoanaerobacterium	s__Thermoanaerobacterium_thermosaccharolyticum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Thermoanaerobacterium	s__Thermoanaerobacterium_xylanolyticum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_III._Incertae_Sedis	g__Thermosediminibacter	s__Thermosediminibacter_oceani
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermoanaerobacterales_Family_IV._Incertae_Sedis	g__Mahella	s__Mahella_australiensis
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermodesulfobiaceae	g__Thermodesulfobium	s__Thermodesulfobium_acidiphilum
k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Thermodesulfobiaceae	g__Thermodesulfobium	s__Thermodesulfobium_narugense
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Erysipelothrix	s__Erysipelothrix_larvae
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Erysipelothrix	s__Erysipelothrix_rhusiopathiae
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Faecalibaculum	s__Faecalibaculum_rodentium
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Turicibacter	s__Turicibacter_sp._H121
k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	s__Erysipelotrichaceae_bacterium_I46
k__Bacteria	p__Firmicutes	c__Limnochordia	o__Limnochordales	f__Limnochordaceae	g__Limnochorda	s__Limnochorda_pilosa
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus_fermentans
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus_intestini
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas_hypermegale
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas	s__Selenomonas_ruminantium
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas	s__Selenomonas_sp._oral_taxon_136
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas	s__Selenomonas_sp._oral_taxon_478
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas	s__Selenomonas_sp._oral_taxon_920
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas	s__Selenomonas_sputigena
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Sporomusaceae	g__Pelosinus	s__Pelosinus_fermentans
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Sporomusaceae	g__Pelosinus	s__Pelosinus_sp._UFO1
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Dialister	s__Dialister_pneumosintes
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Dialister	s__Dialister_sp._Marseille-P5638
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_elsdenii
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Megasphaera	s__Megasphaera_hexanoica
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Negativicoccus	s__Negativicoccus_massiliensis
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella_parvula
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella_rodentium
k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Veillonella	s__Veillonella_sp._OK1
k__Bacteria	p__Firmicutes	c__Tissierellia	g__Ezakiella	s__Ezakiella_massiliensis
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Gottschalkiaceae	g__Gottschalkia	s__Gottschalkia_acidurici
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus	s__Anaerococcus_mediterraneensis
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Anaerococcus	s__Anaerococcus_prevotii
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Finegoldia	s__Finegoldia_magna
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Murdochiella	s__Murdochiella_vaginalis
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Parvimonas	s__Parvimonas_micra
k__Bacteria	p__Firmicutes	c__Tissierellia	o__Tissierellales	f__Peptoniphilaceae	g__Peptoniphilus	s__Peptoniphilus_sp._ING2-D1G
k__Bacteria	p__Firmicutes	g__Ndongobacter	s__Ndongobacter_massiliensis
k__Bacteria	p__Firmicutes	s__endosymbiont_'TC1'_of_Trimyema_compressum
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_gonidiaformans
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_hwasookii
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_mortiferum
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_necrophorum
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_nucleatum
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_periodonticum
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_ulcerans
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__Fusobacterium_varium
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Ilyobacter	s__Ilyobacter_polytropus
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia	s__Leptotrichia_buccalis
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia	s__Leptotrichia_sp._oral_taxon_212
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia	s__Leptotrichia_sp._oral_taxon_498
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Leptotrichia	s__Leptotrichia_sp._oral_taxon_847
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sebaldella	s__Sebaldella_termitidis
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Sneathia	s__Sneathia_amnii
k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Leptotrichiaceae	g__Streptobacillus	s__Streptobacillus_moniliformis
k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_aurantiaca
k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__Gemmatimonas_phototrophica
k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatirosa	s__Gemmatirosa_kalamazoonesis
k__Bacteria	p__Ignavibacteriae	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__Ignavibacterium	s__Ignavibacterium_album
k__Bacteria	p__Ignavibacteriae	c__Ignavibacteria	o__Ignavibacteriales	f__Melioribacteraceae	g__Melioribacter	s__Melioribacter_roseus
k__Bacteria	p__Kiritimatiellaeota	c__Kiritimatiellae	o__Kiritimatiellales	f__Kiritimatiellaceae	g__Kiritimatiella	s__Kiritimatiella_glycovorans
k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	s__Victivallales_bacterium_CCUG_44730
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_ferriphilum
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_ferrooxidans
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Leptospirillum	s__Leptospirillum_sp._Group_II_'CF-1'
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Candidatus_Nitrospira_inopinata
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_defluvii
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_japonica
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__Nitrospira_moscoviensis
k__Bacteria	p__Nitrospirae	c__Nitrospira	o__Nitrospirales	f__Nitrospiraceae	g__Thermodesulfovibrio	s__Thermodesulfovibrio_yellowstonii
k__Bacteria	p__Planctomycetes	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__Phycisphaera	s__Phycisphaera_mikurensis
k__Bacteria	p__Planctomycetes	c__Phycisphaerae	s__Phycisphaerae_bacterium_L21-RPul-D3
k__Bacteria	p__Planctomycetes	c__Phycisphaerae	s__Phycisphaerae_bacterium_ST-PulAB-D4
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Gemmataceae	g__Gemmata	s__Gemmata_obscuriglobus
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Gemmataceae	g__Gemmata	s__Gemmata_sp._SH-PL17
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Isosphaeraceae	g__Isosphaera	s__Isosphaera_pallida
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Isosphaeraceae	g__Paludisphaera	s__Paludisphaera_borealis
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Isosphaeraceae	g__Singulisphaera	s__Singulisphaera_acidiphila
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Fuerstia	s__Fuerstia_marisgermanicae
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Pirellula	s__Pirellula_staleyi
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__Planctomyces_sp._SH-PL14
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctomyces	s__Planctomyces_sp._SH-PL62
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Planctopirus	s__Planctopirus_limnophila
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Rhodopirellula	s__Rhodopirellula_baltica
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Rubinisphaera	s__Rubinisphaera_brasiliensis
k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Thermogutta	s__Thermogutta_terrifontis
k__Bacteria	p__Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus	s__Acidithiobacillus_caldus
k__Bacteria	p__Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus	s__Acidithiobacillus_ferridurans
k__Bacteria	p__Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus	s__Acidithiobacillus_ferrivorans
k__Bacteria	p__Proteobacteria	c__Acidithiobacillia	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus	s__Acidithiobacillus_ferrooxidans
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	g__Candidatus_Puniceispirillum	s__Candidatus_Puniceispirillum_marinum
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	g__Micavibrio	s__Micavibrio_aeruginosavorus
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	g__Phreatobacter	s__Phreatobacter_cathodiphilus
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	g__Polymorphum	s__Polymorphum_gilvum
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis_excentricus
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_naejangsanensis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_sp._DS20
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_sp._GW460-12-10-14-LB2
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_sp._LM2
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_subvibrioides
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas_vesicularis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_henricii
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_mirabilis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_segnis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_sp._K31
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_vibrioides
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_sp._HYN0004
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Phenylobacterium_zucineum
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	s__Caulobacteraceae_bacterium_OTSz_A_272
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Holosporales	f__Caedimonadaceae	g__Candidatus_Nucleicultrix	s__Candidatus_Nucleicultrix_amoebiphila
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Holosporales	f__Candidatus_Paracaedibacteraceae	g__Candidatus_Paracaedibacter	s__Candidatus_Paracaedibacter_acanthamoebae
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Holosporales	f__Holosporaceae	s__endosymbiont_of_Acanthamoeba_sp._UWC8
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Magnetococcales	f__Magnetococcaceae	g__Magnetococcus	s__Magnetococcus_marinus
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Parvularculales	f__Parvularculaceae	g__Parvularcula	s__Parvularcula_bermudensis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Candidatus_Pelagibacter	s__Candidatus_Pelagibacter_sp._IMCC9063
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__Candidatus_Pelagibacter	s__Candidatus_Pelagibacter_ubique
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	s__alpha_proteobacterium_HIMB5
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	s__alpha_proteobacterium_HIMB59
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	g__Candidatus_Fonsibacter	s__Candidatus_Fonsibacter_ubiquis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__Aureimonas	s__Aureimonas_sp._AU20
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__Martelella	s__Martelella_endophytica
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__Martelella	s__Martelella_mediterranea
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Aurantimonadaceae	g__Martelella	s__Martelella_sp._AD-3
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_ancashensis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_apis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_australis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_bacilliformis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_clarridgeiae
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_grahamii
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_henselae
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_quintana
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_schoenbuchensis
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_sp._1-1C
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_sp._A1379B
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_sp._JB15
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_sp._JB63
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bartonellaceae	g__Bartonella	s__Bartonella_sp._Raccoon60
